value,dataset
4809511004.960319,gdp
5248911170.212766,gdp
5402232446.808511,gdp
5913001063.829787,gdp
6330627925.531915,gdp
6651180851.063829,gdp
6938166755.319149,gdp
7219407712.765958,gdp
7031309042.553191,gdp
7528469148.936171,gdp
9062898936.170212,gdp
8976196808.51064,gdp
9593510638.297873,gdp
11074813829.787231,gdp
13150159574.468084,gdp
15968723404.25532,gdp
18504760638.29787,gdp
21730000000.0,gdp
25710904255.31915,gdp
22938218085.106384,gdp
25713271276.595745,gdp
28776595744.68085,gdp
30749308510.638294,gdp
32539468085.106384,gdp
33387712765.957447,gdp
31125851063.82979,gdp
32250132978.723404,gdp
35423643617.02128,gdp
37802005319.14893,gdp
38653318085.106384,gdp
34621807712.76596,gdp
39288670212.76596,gdp
44383297872.34042,gdp
43205000000.0,gdp
4274894083.3333335,gdp
4817580375.0,gdp
5081413541.666667,gdp
5319458562.5,gdp
5386054833.333334,gdp
5906636791.666667,gdp
6439687854.166667,gdp
7253575687.5,gdp
7483685770.833334,gdp
8471006437.5,gdp
8992722166.666668,gdp
8751843187.5,gdp
6288245866.666667,gdp
8086725729.340702,gdp
12512460519.70876,gdp
19448348073.456512,gdp
10117113333.333334,gdp
9651149301.874596,gdp
13281767142.857143,gdp
15565480321.944807,gdp
18138049095.607235,gdp
20249694002.44798,gdp
18525399201.59681,gdp
17609048821.54882,gdp
18920840000.0,gdp
22278423076.92308,gdp
21774033333.33333,gdp
24298032258.06452,gdp
26579005558.365208,gdp
28781715188.891914,gdp
31598340778.21637,gdp
30957483949.57983,gdp
31708874594.16445,gdp
33166519417.98942,gdp
33768660882.79301,gdp
37939748768.65672,gdp
46438484107.57946,gdp
48244309133.489456,gdp
49984559471.36564,gdp
51270569883.52746,gdp
53369787318.62453,gdp
53991289844.32913,gdp
54724081490.510185,gdp
60158929188.255615,gdp
65108544250.04247,gdp
69476001429.86258,gdp
71795735672.01486,gdp
79611644984.35574,gdp
91636997445.24236,gdp
102475158462.5109,gdp
115275540861.35988,gdp
128607482927.46776,gdp
133310747047.52785,gdp
149998957327.0292,gdp
172886611131.25522,gdp
195146607942.29083,gdp
265224514652.99173,gdp
293732447017.3276,gdp
321362751137.57434,gdp
351231655150.82745,gdp
373979442653.34265,gdp
416271647002.4352,gdp
460131688909.3012,gdp
437415331040.9943,gdp
80021380.2934078,gdp
85363261.48789419,gdp
88782065.452366,gdp
99893178.33689786,gdp
99252152.59355947,gdp
105021384.28360496,gdp
113194462.511169,gdp
125553936.24222256,gdp
125733668.572354,gdp
141393142.225575,gdp
166210202.81050453,gdp
186824232.861676,gdp
213723103.1165341,gdp
260770622.81761944,gdp
311809337.4732126,gdp
402178605.0195536,gdp
435911268.5896796,gdp
495097667.9290412,gdp
552883707.0551385,gdp
670362452.1453787,gdp
1012280614.5279174,gdp
1114204743.2009149,gdp
1163923830.3584747,gdp
1236016506.7369363,gdp
1346890071.0982947,gdp
1409536120.91682,gdp
1547755183.2148364,gdp
1704370307.7611496,gdp
1812757917.76463,gdp
2006165166.8075376,gdp
2012131457.2664447,gdp
2020583702.0832295,gdp
1957000000.0,gdp
2063342117.0387316,gdp
2151344901.307612,gdp
2216974096.355592,gdp
2363645403.470392,gdp
2498384129.6673794,gdp
2817083478.3473377,gdp
2951822204.544325,gdp
3059500000.0,gdp
3054500000.0,gdp
3106500000.0,gdp
3209500000.0,gdp
3444500000.0,gdp
3819500000.0,gdp
4217323400.0,gdp
4675767950.0,gdp
4790410400.0,gdp
4466809600.0,gdp
4534772750.0,gdp
4662343500.0,gdp
4622687600.0,gdp
4693452700.0,gdp
4711838650.0,gdp
4738650450.0,gdp
4848210350.0,gdp
5000457800.0,gdp
5128345200.0,gdp
5367139250.0,gdp
4779756550.0,gdp
4945276000.0,gdp
5840673700.0,gdp
6393564189.61345,gdp
9200000000.0,gdp
16416666666.666666,gdp
14952100840.336134,gdp
13970425776.75489,gdp
14756846153.846155,gdp
14130585516.178738,gdp
15221352698.894428,gdp
12138243080.625751,gdp
12736780455.15395,gdp
12354820143.884892,gdp
14594900944.765818,gdp
17825444724.487755,gdp
23141566292.94622,gdp
30210091836.82945,gdp
36961894281.34442,gdp
45275711995.82495,gdp
60752106347.12601,gdp
50873167326.04142,gdp
57231904542.87547,gdp
61762382327.93193,gdp
65685890438.89215,gdp
75527558966.44727,gdp
78812805039.07434,gdp
56454889146.60878,gdp
47723545321.25899,gdp
54725302249.808784,gdp
60031173807.71964,gdp
64410122847.3508,gdp
61371755326.2351,gdp
69673747131.86996,gdp
73775179924.60303,gdp
71857382745.6066,gdp
11810619368.387356,gdp
12561701694.33192,gdp
13436827166.51867,gdp
14445805381.387213,gdp
16168044450.25225,gdp
17597783297.458344,gdp
18894891312.297703,gdp
20252508995.47449,gdp
21654856965.428123,gdp
24019653474.99587,gdp
26706196046.79306,gdp
29821661869.91201,gdp
37209418018.51343,gdp
47743801490.37466,gdp
56033077879.03894,gdp
65678189097.29078,gdp
71113882967.60712,gdp
82839905458.63815,gdp
101246526194.44089,gdp
116315456796.918,gdp
126829314388.19148,gdp
104730018470.23032,gdp
92095926187.53313,gdp
87184239053.25444,gdp
83349530159.17342,gdp
86268264148.37964,gdp
120018787249.41304,gdp
149394404105.8887,gdp
162299103675.26056,gdp
164221056511.05652,gdp
205331747947.8513,gdp
210510999409.33252,gdp
234781652446.67505,gdp
224721795708.95523,gdp
244884129491.1985,gdp
288025588396.2781,gdp
279201433224.75574,gdp
252708051420.83896,gdp
258528339631.0291,gdp
258245733221.4677,gdp
236792460312.4711,gdp
236746141604.3704,gdp
258383599375.17697,gdp
318082528506.5876,gdp
369214712443.2056,gdp
385714762230.0388,gdp
408259840868.8229,gdp
470922156309.4525,gdp
517328087920.078,gdp
483254171097.8122,gdp
481420882905.0009,gdp
523330354138.1333,gdp
496152879924.7267,gdp
521791015247.0603,gdp
535390200131.0177,gdp
462335574841.4841,gdp
476062757356.9273,gdp
502764720556.3538,gdp
543299066998.9016,gdp
535865804349.80304,gdp
526021513474.2427,gdp
600904461226.3469,gdp
583613982019.263,gdp
632216577075.1093,gdp
28072478.072478075,gdp
29964999.964999966,gdp
31857591.85759186,gdp
33750113.750113755,gdp
36194586.1945862,gdp
40110040.11004011,gdp
44450044.45004445,gdp
47431255.747674,gdp
44999910.00018,gdp
47399905.2001896,gdp
53339893.32021336,gdp
59074687.19618515,gdp
65998069.38476313,gdp
78214767.83014962,gdp
103160450.4458694,gdp
118194026.25157352,gdp
97094227.22924706,gdp
117650000.0,gdp
136300000.0,gdp
151800000.0,gdp
197938222.43,gdp
196089854.655,gdp
182206326.985,gdp
192103185.955,gdp
214381949.02,gdp
212643742.665,gdp
231638320.535,gdp
281082558.58500004,gdp
320093360.27,gdp
369133890.705,gdp
545686365.523175,gdp
594975697.04556,gdp
693625168.24559,gdp
750018765.3277149,gdp
769649509.4810951,gdp
816491620.228815,gdp
848205276.869645,gdp
870861115.17749,gdp
926550756.039735,gdp
996906468.694785,gdp
1134756760.6207051,gdp
1168127973.9434898,gdp
1240059540.093475,gdp
1303381860.756735,gdp
1394273990.600035,gdp
1468145956.19917,gdp
1584207353.220495,gdp
1699214298.9143949,gdp
1731921564.0667,gdp
1681473348.434685,gdp
1739070295.44027,gdp
1818831938.17757,gdp
1899503249.864295,gdp
2021757434.18064,gdp
2125125606.2572303,gdp
2194709309.242045,gdp
2240593542.975695,gdp
2266664817.08822,gdp
2292787335.624515,gdp
2386792476.106365,gdp
2047727810.06777,gdp
2424575179.378305,gdp
2830507575.6840954,gdp
3281500000.0,gdp
226195578.43449736,gdp
235668220.50820157,gdp
236434954.038578,gdp
253927697.25804955,gdp
269819005.8781397,gdp
289908680.4263955,gdp
302925235.1519967,gdp
306221953.1049105,gdp
326323105.2647596,gdp
330748244.5395739,gdp
333627713.49443835,gdp
335073027.54117006,gdp
410331856.99121785,gdp
504376074.1857087,gdp
554654860.7025769,gdp
676870140.3415287,gdp
698408261.9222374,gdp
750049778.8406903,gdp
928843469.4317268,gdp
1186231019.8204372,gdp
1405251846.5404758,gdp
1291120188.431039,gdp
1267778670.359021,gdp
1095348199.4391124,gdp
